Jahr,Liga,Team,Player,BA,G,PA,AB,R,H,2B,3B,HR,RBI,SH,SF,HP,BB,IBB,K,SB,CS,GDP,Slg,OBP,OPS,,,,,,
2018,1. Liga (BLA),Bulls,Erwin Frias,0.294,29,139,119,35,35,2,1,1,13,0,1,5,14,0,10,36,0,0,0.353,0.388,0.741,,,,,,
2018,1. Liga (BLA),Bulls,Marcel Winder,0.336,29,138,116,35,39,6,0,1,17,0,0,5,17,0,19,16,1,0,0.414,0.442,0.856,,,,,,
2018,1. Liga (BLA),Bulls,Gregor Paterno,0.194,29,124,103,18,20,5,2,0,18,1,2,1,17,0,38,6,1,0,0.282,0.309,0.590,,,,,,
2018,1. Liga (BLA),Bulls,Jose Ruiz,0.457,26,117,92,33,42,10,1,3,25,0,5,1,19,0,10,13,3,0,0.685,0.530,1.215,,,,,,
2018,1. Liga (BLA),Bulls,Gerald Schöneberg,0.182,29,103,88,12,16,4,0,0,12,1,2,0,12,0,23,0,0,1,0.227,0.275,0.502,,,,,,
2018,1. Liga (BLA),Bulls,Carlos Gabriel,0.222,23,99,81,14,18,4,1,0,19,0,2,4,12,0,21,7,2,2,0.296,0.343,0.640,,,,,,
2018,1. Liga (BLA),Bulls,Luca Mäser,0.203,23,79,74,5,15,0,0,0,3,0,0,0,5,0,14,1,0,1,0.203,0.253,0.456,,,,,,
2018,1. Liga (BLA),Bulls,Jeremy Howard,0.369,20,77,65,18,24,7,0,0,21,0,1,3,8,0,4,6,1,0,0.477,0.455,0.931,,,,,,
2018,1. Liga (BLA),Bulls,Kirian Pichler,0.180,25,72,61,7,11,2,0,1,13,0,1,2,8,0,23,0,0,1,0.262,0.292,0.554,,,,,,
2018,1. Liga (BLA),Bulls,Hannes Moosbrugger,0.180,25,68,61,7,11,0,0,0,7,0,0,3,4,0,16,1,2,0,0.180,0.265,0.445,,,,,,
2018,1. Liga (BLA),Bulls,Simon Peter,0.298,12,52,47,7,14,2,1,0,10,0,2,0,3,0,5,0,1,3,0.383,0.327,0.710,,,,,,
2018,1. Liga (BLA),Bulls,Yanik Mäser,0.125,11,32,24,3,3,0,0,0,1,0,0,3,5,0,8,1,0,1,0.125,0.344,0.469,,,,,,
2018,1. Liga (BLA),Bulls,Clemens Cichocki,0.412,8,19,17,3,7,2,0,0,4,0,0,0,2,0,3,0,0,1,0.529,0.474,1.003,,,,,,
2018,1. Liga (BLA),Bulls,Max Harrer,0.182,6,13,11,3,2,1,0,0,1,0,0,2,0,0,5,0,0,0,0.273,0.308,0.580,,,,,,
2018,1. Liga (BLA),Bulls,Arjan Frans,0.111,9,9,9,2,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0.111,0.111,0.222,,,,,,
2018,1. Liga (BLA),Bulls,Pascal Campregher,0.400,5,7,5,2,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0.400,0.571,0.971,,,,,,
2018,1. Liga (BLA),Bulls,Hubert Böhler,0.400,2,5,5,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0.400,0.400,0.800,,,,,,
2018,1. Liga (BLA),Bulls,Mathias Lechleitner,0.000,6,5,4,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.000,0.200,0.200,,,,,,
2018,1. Liga (BLA),Bulls,Patrick Küng,0.250,1,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,,,,,,
2018,1. Liga (BLA),Bulls,Takuro Sugio,0.000,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,,,,,,
2018,1. Liga (BLA),Bulls,Clayton Carson,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,,,,,,
2018,1. Liga (BLA),Bulls,Luca Marte,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,,,,,,
